val_idx,subset,pred_stage4,pred_stage5
0,Aka_Gha,"Aban ahorow, NGO ahorow, ne mpɔtam ahyehyɛde ahorow di dwuma titiriw wɔ nhomasua ne adwumayɛ ho ntet","Nea ɛbɛyɛ na wɔadu mmabun a wɔato wɔn hintidua anaasɛ wonnya mmoa pii, a wɔn a wofi atubrafo, nnipa "
1,Aka_Gha,Mmara kwan so hokwan ahorow kyerɛ hokwan ahorow ne ahobammɔ a mmara de ma ankorankoro. Wɔ nna ne awo,"Ɛnanom akwahosan kyerɛ nnipa akwahosan wɔ nyinsɛn, awo, ne awo akyi bere. Ɛho hia sɛ mmabun te ase e"
2,Aka_Gha,"Mmabun betumi atu anammɔn pii de ahu sɛ wɔn nna ne awo akwahosan ho nsɛm bɛkɔ so ayɛ kokoamsɛm, a ne","Ɛtɔ mmere bi a, akwahosan ho nhyehyɛe no mu a wobɛfa so no betumi ayɛ den, nanso anammɔn pii wɔ hɔ a"
4,Aka_Gha,Ahyehyɛde ahorow a ɛwɔ mpɔtam hɔ de abɛɛfo mfiridwuma nea broni ka no 'technology'  ne 'sohyial medi,Mfiridwuma foforo a ɛwɔ hɔ a wɔde bɛboa mmabun nna ne awo akwahosan no bi ne: Mobile apps: Apps te s
8,Aka_Gha,Amammerɛ mu gyinapɛn ahorow a ɛwɔ atubrafo ne nnipa kakraa bi mu no nya adwene a nkurɔfo kura wɔ mme,"Fi ase  wɔ ɔpɛ a wowɔ sɛ wobɛka w’akwahosan ne wo yiyedi ho asɛm pefee na woadi nokware adi, na ma w"
9,Aka_Gha,Abrabɔ pa ho nsusuiɛ wɔ sikasɛm nhyehyɛeɛ a ɛfa mmarima ne mmaa ho a wɔbɛhyehyɛ na wɔde adi dwuma no,Nea ɛka abrabɔ pa ho nsusuwii a wɔde bedi dwuma wɔ ɔkwan a egyina hokwan ahorow so a wɔde bedi dwuma
13,Aka_Gha,Amammerɛ mu nteaseɛ 'cultural sensitivity'  de nkabom ne obu anaa nidi ba ma afoforow a wɔ dwene fa ,"Yiw, amammerɛ mu ahokokwaw ho nneɛma ne nneɛma bi wɔ hɔ a mmabun betumi ate wɔn hokwan ne akwan ahor"
15,Aka_Gha,"Ɛtaa ba sɛ nipadua no nsɛso sesa wɔ mmerantebere ne mmabaabere mu, na ebetumi agye bere kakra ansa n","Nyinsɛn biara de asiane ahorow bi ba, nanso mmabun betumi ahyia asiane a ɛkɔ soro kakra wɔ nsɛnnenne"
19,Aka_Gha,Nsɛnkyerɛnne bi a ɛkyerɛ sɛ ebia wubenya mfaso afi adwumayɛfo mmoa mu ni: Sɛ wote nka sɛ wo ho yeraw,Nsɛnkyerɛnne a ɛtaa ba a ɛkyerɛ sɛ abusuabɔ a ɛnyɛ papa anaasɛ ɛyɛ ayayade no bi ne: Ahyɛde: Ɔhokafo
20,Aka_Gha,Atipɛnfo nkyerɛkyerɛ nhyehyɛe ahorow ma mmabun nya kwan nya nsɛm a ɛyɛ nokware a atipɛnfo a wɔatete ,Nsɛm ho amanneɛbɔ ho nimdeɛ ma mmabun tumi susuw nkrasɛm a wɔde ma wɔ nsɛm ho amanneɛbɔ mu a ɛfa nna
