val_idx,subset
5328,Lug_Uga
5329,Lug_Uga
5331,Lug_Uga
5333,Lug_Uga
5334,Lug_Uga
5335,Lug_Uga
5336,Lug_Uga
5339,Lug_Uga
5344,Lug_Uga
5345,Lug_Uga
5347,Lug_Uga
5348,Lug_Uga
5349,Lug_Uga
5350,Lug_Uga
5352,Lug_Uga
5357,Lug_Uga
5358,Lug_Uga
5359,Lug_Uga
5361,Lug_Uga
5362,Lug_Uga
5363,Lug_Uga
5366,Lug_Uga
5369,Lug_Uga
5370,Lug_Uga
5374,Lug_Uga
5378,Lug_Uga
5379,Lug_Uga
5380,Lug_Uga
5384,Lug_Uga
5385,Lug_Uga
5386,Lug_Uga
5388,Lug_Uga
5389,Lug_Uga
5390,Lug_Uga
5393,Lug_Uga
5395,Lug_Uga
5396,Lug_Uga
5397,Lug_Uga
5399,Lug_Uga
5400,Lug_Uga
5401,Lug_Uga
5403,Lug_Uga
5404,Lug_Uga
5406,Lug_Uga
5409,Lug_Uga
5410,Lug_Uga
5411,Lug_Uga
5412,Lug_Uga
5415,Lug_Uga
5418,Lug_Uga
5419,Lug_Uga
5420,Lug_Uga
5421,Lug_Uga
5426,Lug_Uga
5427,Lug_Uga
5429,Lug_Uga
5435,Lug_Uga
5438,Lug_Uga
5439,Lug_Uga
5441,Lug_Uga
5443,Lug_Uga
5446,Lug_Uga
5448,Lug_Uga
5449,Lug_Uga
5451,Lug_Uga
5454,Lug_Uga
5457,Lug_Uga
5458,Lug_Uga
5459,Lug_Uga
5460,Lug_Uga
5463,Lug_Uga
5464,Lug_Uga
5465,Lug_Uga
5466,Lug_Uga
5470,Lug_Uga
5471,Lug_Uga
5472,Lug_Uga
5474,Lug_Uga
5479,Lug_Uga
5483,Lug_Uga
5486,Lug_Uga
5488,Lug_Uga
5489,Lug_Uga
5490,Lug_Uga
5493,Lug_Uga
5494,Lug_Uga
5496,Lug_Uga
5499,Lug_Uga
5504,Lug_Uga
5506,Lug_Uga
5507,Lug_Uga
5510,Lug_Uga
5515,Lug_Uga
5516,Lug_Uga
5517,Lug_Uga
5519,Lug_Uga
5523,Lug_Uga
5527,Lug_Uga
5528,Lug_Uga
5529,Lug_Uga
5531,Lug_Uga
5539,Lug_Uga
5541,Lug_Uga
5542,Lug_Uga
5544,Lug_Uga
5545,Lug_Uga
5548,Lug_Uga
5555,Lug_Uga
5557,Lug_Uga
5559,Lug_Uga
5563,Lug_Uga
5567,Lug_Uga
5568,Lug_Uga
5569,Lug_Uga
5571,Lug_Uga
5572,Lug_Uga
5576,Lug_Uga
5577,Lug_Uga
5579,Lug_Uga
5583,Lug_Uga
5587,Lug_Uga
5588,Lug_Uga
5589,Lug_Uga
5590,Lug_Uga
5591,Lug_Uga
5597,Lug_Uga
5601,Lug_Uga
5603,Lug_Uga
5605,Lug_Uga
5608,Lug_Uga
5610,Lug_Uga
5611,Lug_Uga
5615,Lug_Uga
5617,Lug_Uga
5618,Lug_Uga
5619,Lug_Uga
5620,Lug_Uga
5622,Lug_Uga
5624,Lug_Uga
5626,Lug_Uga
5629,Lug_Uga
5631,Lug_Uga
5632,Lug_Uga
5633,Lug_Uga
5634,Lug_Uga
5636,Lug_Uga
5641,Lug_Uga
5644,Lug_Uga
5645,Lug_Uga
5650,Lug_Uga
5652,Lug_Uga
5653,Lug_Uga
5654,Lug_Uga
5657,Lug_Uga
5660,Lug_Uga
5662,Lug_Uga
5663,Lug_Uga
5664,Lug_Uga
5668,Lug_Uga
5669,Lug_Uga
5670,Lug_Uga
5672,Lug_Uga
5675,Lug_Uga
5677,Lug_Uga
5682,Lug_Uga
5686,Lug_Uga
5687,Lug_Uga
5688,Lug_Uga
5690,Lug_Uga
5691,Lug_Uga
5692,Lug_Uga
5696,Lug_Uga
5698,Lug_Uga
5699,Lug_Uga
5700,Lug_Uga
5701,Lug_Uga
5703,Lug_Uga
5705,Lug_Uga
5706,Lug_Uga
5707,Lug_Uga
5708,Lug_Uga
5709,Lug_Uga
5710,Lug_Uga
